Date,Copper_Price_USD,Volume,YearMonth
2022-09-15,3.5234999656677246,596,2022-09
2022-09-16,3.561000108718872,554,2022-09
2022-09-19,3.557499885559082,450,2022-09
2022-09-20,3.5480000972747803,545,2022-09
2022-09-21,3.51200008392334,985,2022-09
2022-09-22,3.498500108718872,681,2022-09
2022-09-23,3.371500015258789,511,2022-09
2022-09-26,3.313499927520752,589,2022-09
2022-09-27,3.322999954223633,487,2022-09
2022-09-28,3.381999969482422,527,2022-09
2022-09-29,3.440000057220459,592,2022-09
2022-09-30,3.441999912261963,276,2022-09
2022-10-03,3.4579999446868896,609,2022-10
2022-10-04,3.5179998874664307,720,2022-10
2022-10-05,3.5325000286102295,282,2022-10
2022-10-06,3.4749999046325684,217,2022-10
2022-10-07,3.4124999046325684,278,2022-10
2022-10-10,3.4535000324249268,246,2022-10
2022-10-11,3.4779999256134033,265,2022-10
2022-10-12,3.444499969482422,352,2022-10
2022-10-13,3.4674999713897705,249,2022-10
2022-10-14,3.450500011444092,354,2022-10
2022-10-17,3.4554998874664307,269,2022-10
2022-10-18,3.4065001010894775,331,2022-10
2022-10-19,3.3605000972747803,353,2022-10
2022-10-20,3.4509999752044678,433,2022-10
2022-10-21,3.5230000019073486,417,2022-10
2022-10-24,3.4795000553131104,537,2022-10
2022-10-25,3.450500011444092,508,2022-10
2022-10-26,3.629499912261963,367,2022-10
2022-10-27,3.625499963760376,761,2022-10
2022-10-28,3.4660000801086426,860,2022-10
2022-10-31,3.4135000705718994,587,2022-10
2022-11-01,3.509500026702881,405,2022-11
2022-11-02,3.505500078201294,238,2022-11
2022-11-03,3.4565000534057617,309,2022-11
2022-11-04,3.7144999504089355,322,2022-11
2022-11-07,3.629499912261963,279,2022-11
2022-11-08,3.7054998874664307,221,2022-11
2022-11-09,3.741499900817871,323,2022-11
2022-11-10,3.7960000038146973,231,2022-11
2022-11-11,3.9509999752044678,260,2022-11
2022-11-14,3.8550000190734863,661,2022-11
2022-11-15,3.8394999504089355,409,2022-11
2022-11-16,3.7880001068115234,461,2022-11
2022-11-17,3.689500093460083,427,2022-11
2022-11-18,3.631999969482422,645,2022-11
2022-11-21,3.571500062942505,455,2022-11
2022-11-22,3.614500045776367,539,2022-11
2022-11-23,3.617500066757202,296,2022-11
2022-11-25,3.626499891281128,301,2022-11
2022-11-28,3.6105000972747803,31550,2022-11
2022-11-29,3.630000114440918,8381,2022-11
2022-11-30,3.7295000553131104,2093,2022-11
2022-12-01,3.813999891281128,1366,2022-12
2022-12-02,3.8480000495910645,660,2022-12
2022-12-05,3.7894999980926514,686,2022-12
2022-12-06,3.811500072479248,856,2022-12
2022-12-07,3.8554999828338623,535,2022-12
2022-12-08,3.880500078201294,786,2022-12
2022-12-09,3.875999927520752,599,2022-12
2022-12-12,3.7985000610351562,542,2022-12
2022-12-13,3.8394999504089355,522,2022-12
2022-12-14,3.875,589,2022-12
2022-12-15,3.763000011444092,1002,2022-12
2022-12-16,3.7614998817443848,616,2022-12
2022-12-19,3.7829999923706055,601,2022-12
2022-12-20,3.797499895095825,585,2022-12
2022-12-21,3.805999994277954,578,2022-12
2022-12-22,3.751499891281128,591,2022-12
2022-12-23,3.802999973297119,370,2022-12
2022-12-27,3.8334999084472656,380,2022-12
2022-12-28,3.8320000171661377,550,2022-12
2022-12-29,3.821000099182129,723,2022-12
2022-12-30,3.805500030517578,681,2022-12
2023-01-03,3.7660000324249268,1032,2023-01
2023-01-04,3.739500045776367,663,2023-01
2023-01-05,3.818000078201294,367,2023-01
2023-01-06,3.9084999561309814,422,2023-01
2023-01-09,4.018499851226807,837,2023-01
2023-01-10,4.066999912261963,676,2023-01
2023-01-11,4.1545000076293945,657,2023-01
2023-01-12,4.185999870300293,532,2023-01
2023-01-13,4.207499980926514,372,2023-01
2023-01-17,4.215000152587891,406,2023-01
2023-01-18,4.228499889373779,514,2023-01
2023-01-19,4.226500034332275,350,2023-01
2023-01-20,4.248499870300293,447,2023-01
2023-01-23,4.254000186920166,495,2023-01
2023-01-24,4.245500087738037,527,2023-01
2023-01-25,4.239999771118164,380,2023-01
2023-01-26,4.267000198364258,616,2023-01
2023-01-27,4.223999977111816,596,2023-01
2023-01-30,4.203499794006348,468,2023-01
2023-01-31,4.228499889373779,518,2023-01
2023-02-01,4.111000061035156,969,2023-02
2023-02-02,4.093999862670898,558,2023-02
2023-02-03,4.063000202178955,624,2023-02
2023-02-06,4.043499946594238,299,2023-02
2023-02-07,4.088500022888184,278,2023-02
2023-02-08,4.043499946594238,263,2023-02
2023-02-09,4.105500221252441,256,2023-02
2023-02-10,4.027500152587891,320,2023-02
2023-02-13,4.086999893188477,345,2023-02
2023-02-14,4.110000133514404,390,2023-02
2023-02-15,4.052000045776367,482,2023-02
2023-02-16,4.165500164031982,490,2023-02
2023-02-17,4.113999843597412,513,2023-02
2023-02-21,4.234499931335449,406,2023-02
2023-02-22,4.202499866485596,682,2023-02
2023-02-23,4.072999954223633,306,2023-02
2023-02-24,3.9549999237060547,53656,2023-02
2023-02-27,4.008999824523926,8905,2023-02
2023-02-28,4.097499847412109,1526,2023-02
2023-03-01,4.168000221252441,901,2023-03
2023-03-02,4.084000110626221,830,2023-03
2023-03-03,4.078000068664551,663,2023-03
2023-03-06,4.100500106811523,795,2023-03
2023-03-07,3.9865000247955322,906,2023-03
2023-03-08,4.041500091552734,525,2023-03
2023-03-09,4.054500102996826,584,2023-03
2023-03-10,4.045499801635742,591,2023-03
