Date,ZMW_per_USD,YearMonth
2016-03-31,0.08933357149362564,2016-03
2016-04-01,0.09096697717905045,2016-04
2016-04-04,0.09175995737314224,2016-04
2016-04-05,0.09171787649393082,2016-04
2016-04-06,0.09288500994443893,2016-04
2016-04-07,0.09476876258850098,2016-04
2016-04-08,0.0971250981092453,2016-04
2016-04-11,0.10175009816884995,2016-04
2016-04-12,0.10228922963142395,2016-04
2016-04-13,0.10297706723213196,2016-04
2016-04-14,0.10818880796432495,2016-04
2016-04-15,0.10989736020565033,2016-04
2016-04-18,0.10931351035833359,2016-04
2016-04-19,0.10912622511386871,2016-04
2016-04-20,0.10848811268806458,2016-04
2016-04-21,0.10816188901662827,2016-04
2016-04-22,0.10745063424110413,2016-04
2016-04-25,0.10741831362247467,2016-04
2016-04-26,0.10686500370502472,2016-04
2016-04-27,0.10565575212240219,2016-04
2016-04-28,0.10514804720878601,2016-04
2016-04-29,0.10507182031869888,2016-04
2016-05-02,0.10540073364973068,2016-05
2016-05-03,0.1046057939529419,2016-05
2016-05-04,0.10324498265981674,2016-05
2016-05-05,0.10391122102737427,2016-05
2016-05-06,0.10338268429040909,2016-05
2016-05-09,0.10215339809656143,2016-05
2016-05-10,0.1020553931593895,2016-05
2016-05-11,0.10130377858877182,2016-05
2016-05-12,0.10130582749843597,2016-05
2016-05-13,0.10078714787960052,2016-05
2016-05-16,0.10058034956455231,2016-05
2016-05-17,0.09978047758340836,2016-05
2016-05-18,0.09925558418035507,2016-05
2016-05-19,0.09944312274456024,2016-05
2016-05-20,0.09897070378065109,2016-05
2016-05-23,0.0983574315905571,2016-05
2016-05-24,0.09802960604429245,2016-05
2016-05-25,0.09771350026130676,2016-05
2016-05-26,0.09751340746879578,2016-05
2016-05-27,0.09731412678956985,2016-05
2016-05-30,0.09705910831689835,2016-05
2016-05-31,0.09643201529979706,2016-05
2016-06-01,0.09652510285377502,2016-06
2016-06-02,0.0956297218799591,2016-06
2016-06-03,0.09522902220487595,2016-06
2016-06-06,0.09538344293832779,2016-06
2016-06-07,0.09512937813997269,2016-06
2016-06-08,0.09493069350719452,2016-06
2016-06-09,0.09468800574541092,2016-06
2016-06-10,0.0935366228222847,2016-06
2016-06-13,0.09355411678552628,2016-06
2016-06-14,0.09337940067052841,2016-06
2016-06-15,0.09281603991985321,2016-06
2016-06-16,0.09308386594057083,2016-06
2016-06-17,0.09216589480638504,2016-06
2016-06-20,0.09235315769910812,2016-06
2016-06-21,0.09114108234643936,2016-06
2016-06-22,0.09085953235626221,2016-06
2016-06-23,0.09167583286762238,2016-06
2016-06-24,0.09186110645532608,2016-06
2016-06-27,0.09264406561851501,2016-06
2016-06-28,0.09255830943584442,2016-06
2016-06-29,0.09382623434066772,2016-06
2016-06-30,0.09549274295568466,2016-06
2016-07-01,0.10008106380701065,2016-07
2016-07-04,0.10625185817480087,2016-07
2016-07-05,0.10591425001621246,2016-07
2016-07-06,0.10492409020662308,2016-07
2016-07-07,0.10417860746383667,2016-07
2016-07-08,0.1038346141576767,2016-07
2016-07-11,0.10033411532640457,2016-07
2016-07-12,0.0978473573923111,2016-07
2016-07-13,0.0944376289844513,2016-07
2016-07-14,0.0975039079785347,2016-07
2016-07-15,0.09907856583595276,2016-07
2016-07-18,0.0982607826590538,2016-07
2016-07-19,0.10172732919454575,2016-07
2016-07-20,0.10213878750801086,2016-07
2016-07-21,0.10380766540765762,2016-07
2016-07-22,0.10808590799570084,2016-07
2016-07-25,0.1063920259475708,2016-07
2016-07-26,0.10481960326433182,2016-07
2016-07-27,0.10121048241853714,2016-07
2016-07-28,0.10030392557382584,2016-07
2016-07-29,0.09769441187381744,2016-07
2016-08-01,0.09845427423715591,2016-08
2016-08-02,0.097541943192482,2016-08
2016-08-03,0.09860960394144058,2016-08
2016-08-04,0.0989217534661293,2016-08
2016-08-05,0.09934432804584503,2016-08
2016-08-08,0.10022852569818497,2016-08
2016-08-09,0.10129556804895401,2016-08
2016-08-10,0.09816432744264603,2016-08
2016-08-11,0.09636696428060532,2016-08
2016-08-12,0.09579461812973022,2016-08
2016-08-15,0.09563886374235153,2016-08
2016-08-16,0.09645992517471313,2016-08
2016-08-17,0.10013217478990555,2016-08
2016-08-18,0.10088171064853668,2016-08
2016-08-19,0.10178013145923615,2016-08
2016-08-22,0.10177184641361237,2016-08
2016-08-23,0.10182158648967743,2016-08
2016-08-24,0.10141165554523468,2016-08
2016-08-25,0.10122071951627731,2016-08
2016-08-26,0.10028178989887238,2016-08
2016-08-29,0.10141576081514359,2016-08
2016-08-30,0.10333460569381714,2016-08
2016-08-31,0.10524432361125946,2016-08
2016-09-01,0.10601193457841873,2016-09
2016-09-02,0.10443973541259766,2016-09
2016-09-05,0.10319917649030685,2016-09
2016-09-06,0.10195758938789368,2016-09
2016-09-07,0.10109485685825348,2016-09
2016-09-08,0.09828975796699524,2016-09
2016-09-09,0.09765625,2016-09
2016-09-12,0.09786650538444519,2016-09
2016-09-13,0.10047626495361328,2016-09
2016-09-14,0.10001199692487717,2016-09
2016-09-15,0.10040664672851562,2016-09
2016-09-16,0.10060159862041473,2016-09
2016-09-19,0.09816432744264603,2016-09
2016-09-20,0.09940357506275177,2016-09
2016-09-21,0.1008095070719719,2016-09
2016-09-22,0.10145794600248337,2016-09
2016-09-23,0.09981036186218262,2016-09
2016-09-26,0.0999700054526329,2016-09
2016-09-27,0.10021746903657913,2016-09
2016-09-28,0.10221081972122192,2016-09
2016-09-29,0.10252204537391663,2016-09
2016-09-30,0.10238873213529587,2016-09
2016-10-03,0.10113678127527237,2016-10
2016-10-04,0.09985022246837616,2016-10
2016-10-05,0.101356141269207,2016-10
2016-10-06,0.10200958698987961,2016-10
2016-10-07,0.10109996795654297,2016-10
2016-10-10,0.10099174082279205,2016-10
2016-10-11,0.10111735016107559,2016-10
2016-10-12,0.10110916942358017,2016-10
2016-10-13,0.10059957206249237,2016-10
2016-10-14,0.10130582749843597,2016-10
2016-10-17,0.10120534896850586,2016-10
2016-10-18,0.10125761479139328,2016-10
2016-10-19,0.10108668357133865,2016-10
2016-10-20,0.10125967115163803,2016-10
2016-10-21,0.10197214782238007,2016-10
2016-10-24,0.10142708569765091,2016-10
2016-10-25,0.10133560001850128,2016-10
2016-10-26,0.10156098753213882,2016-10
2016-10-27,0.10228817909955978,2016-10
2016-10-28,0.1023751050233841,2016-10
2016-10-31,0.1031927838921547,2016-10
2016-11-01,0.10475701093673706,2016-11
2016-11-02,0.10322367399930954,2016-11
2016-11-03,0.10251783579587936,2016-11
2016-11-04,0.10198045521974564,2016-11
2016-11-07,0.10275696963071823,2016-11
2016-11-08,0.10330791771411896,2016-11
2016-11-09,0.10384754836559296,2016-11
2016-11-10,0.10066133737564087,2016-11
2016-11-11,0.1018994078040123,2016-11
2016-11-14,0.102254718542099,2016-11
2016-11-15,0.10178842395544052,2016-11
2016-11-16,0.10185166448354721,2016-11
2016-11-17,0.10182158648967743,2016-11
2016-11-18,0.10018132627010345,2016-11
